id,text,greetings,goodbye_prompt,change_nib_or_iban,request_parking_lot,request_office_table_office,request_time_off,nothing_related
0,I need to modify my Workday IBAN to PT50023369946433302423131.,False,False,True,False,False,False,False
1,I need to request time off on 7th July 2023 and 8th July 2023.,False,False,False,False,False,True,False
2,May the winds of fortune guide you!,False,True,False,False,False,False,False
3,"I would like to reserve a parking spot in the Porto office park l2 for 7-07-2023, can you assist me?",False,False,False,True,False,False,False
4,"Hi there, my fellow night owl! What nocturnal adventures have you embarked upon?",True,False,False,False,False,False,False
5,I need to amend my Workday IBAN to PT50125946036963700058409.,False,False,True,False,False,False,False
6,"To update my Workday NIB, I need to substitute it with PT50773945622293682154330",False,False,True,False,False,False,False
7,"I need to request time off on June 3, twenty-three.",False,False,False,False,False,True,False
8,Let's create a compilation of motivational quotes to inspire and uplift others.,False,False,False,False,False,False,True
9,"Not seeking any specific outcomes, trusting in the process of life.",False,False,False,False,False,False,True
10,I want to substitute my NIB in Workday with PT50284086483984501675779.,False,False,True,False,False,False,False
11,Keep smiling!,False,True,False,False,False,False,False
12,"Could you assist me in securing a place in the Coimbra office, specifically in room B1, for December 1st, 2023?",False,False,False,False,True,False,False
13,"With a warm cup of cocoa in hand, the family gathered around the fireplace on a winter's night.",False,False,False,False,True,False,False
14,"I need to arrange a parking space in the Guarda office park f2 for 5-17-2023, can you assist me?",False,False,False,True,False,False,False
15,"Goodbye for now, but not forever.",False,True,False,False,False,False,False
16,"Farewell, my trusted companion. Until we meet again.",False,True,False,False,False,False,False
17,I would like to substitute my Workday NIB with PT50412603951162284607195.,False,False,True,False,False,False,False
18,"Not seeking any specific outcomes, finding contentment in the journey itself.",False,False,False,False,False,False,True
19,Could you please book a parking space for me in the Faro office park r1 on 9-01-2023?,False,False,False,True,False,False,False
20,"With a sense of wonder, the child gazed at the twinkling stars in the night sky.",False,False,False,False,True,False,False
21,"With the wind in their hair, the cyclists raced down the winding mountain road.",False,False,False,False,True,False,False
22,I need to reserve a parking lot in the Porto office park f1 for 6-27-2023. Can you assist me?,False,False,False,True,False,False,False
23,I need to amend my Workday NIB to PT50236242812474193508401.,False,False,True,False,False,False,False
24,I wish to modify my Workday NIB to PT50051311129565672378971.,False,False,True,False,False,False,False
25,"Farewell, and may fortune smile upon you!",False,True,False,False,False,False,False
26,"Welcome, welcome! Your presence adds a spark of joy to the atmosphere.",True,False,False,False,False,False,False
27,I need to request time off on 7-06-2024 and 8-06-2024.,False,False,False,False,False,True,False
28,I need to request time off on 23-02-2024 and 24-02-2024.,False,False,False,False,False,True,False
29,"No particular agenda or motives, simply here to share and listen.",False,False,False,False,False,False,True
30,"The aroma of sizzling barbecue filled the backyard, signaling the start of a summer cookout.",False,False,False,False,True,False,False
31,"I need to arrange a parking space in the Vila Real office park r1 for 8-01-2023, can you assist me?",False,False,False,True,False,False,False
32,"Hello, my friend! How's life treating you?",True,False,False,False,False,False,False
33,"With a sense of wonder, the stargazer observed the constellations in the clear night sky.",False,False,False,False,True,False,False
34,Could you please arrange a parking space for me in the Lisbon office park b1 on 4-03-2023?,False,False,False,True,False,False,False
35,"I'm looking to book a spot in the Porto office, specifically in room B2, for the dates of May 6th, 2023.",False,False,False,False,True,False,False
36,"Goodbye, dear colleague!",False,True,False,False,False,False,False
37,"I'm looking to book an office in Porto, preferably in room C2, from March 27th to 29th, 2023.",False,False,False,False,True,False,False
38,Can you help me book a parking lot in the Coimbra office park f1 on 8-10-2023?,False,False,False,True,False,False,False
39,"Hey there! You're a rockstar, and I'm cheering you on from afar.",True,False,False,False,False,False,False
40,"No specific matters to address, just wanted to check in and say hello.",False,False,False,False,False,False,True
41,"I need to arrange a parking space in the Lisbon office park l2 for 8-29-2023, can you assist me?",False,False,False,True,False,False,False
42,How's life treating you?,True,False,False,False,False,False,False
43,My Workday IBAN should be updated to PT50294957113265848215725.,False,False,True,False,False,False,False
44,"If you could have any superpower, but only on Mondays, what would it be and why?",False,False,False,False,False,False,True
45,"To update my IBAN in Workday, I need to set it to PT50351591443053545349379.",False,False,True,False,False,False,False
46,"Good day to you, my spiritual seeker! What enlightening insights have you gained on your journey?",True,False,False,False,False,False,False
47,"Can you book me a spot in the Faro office, specifically in room A2, for September 2nd, 2023?",False,False,False,False,True,False,False
48,I need to request time off on the third day of June in the year 2023.,False,False,False,False,False,True,False
49,I would like to reserve a parking spot in the Lisbon office park r1 for 4-19-2023. Can you assist me?,False,False,False,True,False,False,False
50,I need to replace my Workday NIB with PT50129587576146651109163.,False,False,True,False,False,False,False
